Epoch time,Latitude,Longitude,Radiation (cps)
1682547481.4739974,37.875368,-122.25889,36.2
1682547487.4721003,37.875363,-122.258888,31.2
1682547493.3202105,37.875353,-122.258893,30.8
1682547499.2240298,37.875344,-122.258901,33.2
1682547504.9721005,37.875335,-122.258909,28.4
1682547510.8013458,37.875328,-122.25894,37.4
1682547516.6043034,37.875301,-122.258916,34.6
1682547522.3927796,37.875296,-122.258911,32.6
1682547528.132405,37.875294,-122.258908,39.4
1682547533.8415892,37.875298,-122.258906,33.8
1682547539.7449965,37.875303,-122.258905,29.2
1682547545.5143695,37.87531,-122.258906,34.4
1682547551.3067398,37.875318,-122.258903,34.6
1682547557.1171443,37.875335,-122.2589,36.0
1682547562.9047518,37.87534,-122.258898,34.8
1682547568.6539934,37.875343,-122.258903,35.2
1682547574.4449484,37.875343,-122.258906,32.0
1682547580.254445,37.875341,-122.258911,39.0
1682547586.0097852,37.87534,-122.258911,34.6
1682547591.8147514,37.875343,-122.258909,37.4
1682547597.5938742,37.875343,-122.258911,31.0
1682547603.4004679,37.875338,-122.258913,39.8
1682547609.1997488,37.875336,-122.258913,38.4
1682547615.0018084,37.87534,-122.258916,36.6
1682547620.8103368,37.875343,-122.258918,32.2
1682547626.6019745,37.875348,-122.258919,31.8
1682547632.5042815,37.875356,-122.25893,32.6
1682547638.3425014,37.87536,-122.258926,34.8
1682547644.179084,37.875363,-122.258921,35.2
1682547650.0301986,37.875368,-122.258919,36.0
1682547655.8868296,37.875371,-122.258918,42.4
1682547661.7655609,37.875375,-122.258923,32.0
1682547667.7518048,37.87537,-122.258919,38.0
1682547673.6189086,37.875368,-122.258916,37.4
1682547679.61595,37.875365,-122.258911,36.4
1682547685.466421,37.875361,-122.258911,34.4
1682547691.3589492,37.87536,-122.258911,37.2
1682547697.2331672,37.875365,-122.258909,34.4
1682547703.1029022,37.875368,-122.258909,33.6
1682547708.9123647,37.875375,-122.258905,34.0
1682547714.790799,37.875394,-122.258913,38.4
1682547720.688189,37.875426,-122.258898,33.8
1682547726.5952868,37.875448,-122.258906,35.4
1682547732.5018804,37.875465,-122.258905,35.4
1682547738.4303632,37.875471,-122.258905,36.6
1682547744.280785,37.875473,-122.258901,36.0
1682547750.161953,37.875471,-122.2589,39.2
1682547755.9960744,37.875466,-122.258895,37.8
1682547761.8907547,37.875463,-122.258893,36.4
1682547767.785674,37.875448,-122.258888,34.4
1682547773.6928492,37.875448,-122.258891,31.8
1682547779.6066458,37.875446,-122.258895,38.4
1682547785.5966978,37.875443,-122.258898,34.4
1682547791.7632449,37.87544,-122.2589,34.2
