Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3)
1681947794.7825856,37.875375,-122.258738,2.0
1681947800.582715,37.875379,-122.258781,2.0
1681947806.4158816,37.87539,-122.258813,2.0
1681947812.48739,37.875394,-122.25882,2.0
1681947818.2906837,37.875388,-122.258815,2.0
1681947824.1245625,37.875393,-122.258811,2.0
1681947829.8939621,37.875393,-122.258806,2.0
1681947835.666579,37.875388,-122.258798,2.0
1681947841.5374002,37.875381,-122.258783,2.0
1681947847.3459928,37.875371,-122.258768,2.0
1681947853.2833369,37.875365,-122.258738,2.0
1681947859.077292,37.875355,-122.258726,2.0
1681947864.8871555,37.87535,-122.25873,2.0
1681947870.664878,37.875348,-122.258735,2.0
1681947876.5104535,37.875346,-122.258743,2.0
1681947882.3637474,37.87535,-122.258746,2.0
1681947888.2296247,37.875356,-122.258751,2.0
1681947894.1703215,37.875363,-122.258751,2.0
1681947900.0451908,37.87536,-122.258748,2.0
1681947905.862537,37.875355,-122.258749,2.0
1681947911.7337165,37.87535,-122.258749,2.0
1681947917.590846,37.875346,-122.258749,2.0
1681947923.4964647,37.875341,-122.258756,2.0
1681947929.4002366,37.87534,-122.258765,2.0
1681947935.3174186,37.875348,-122.25877,2.0
1681947941.2099993,37.875355,-122.258768,2.0
1681947947.0623653,37.875358,-122.258765,2.0
1681947952.8949862,37.875356,-122.258756,2.0
1681947958.7376194,37.875355,-122.258753,2.0
1681947964.6513813,37.875355,-122.258755,2.0
1681947970.571482,37.87535,-122.258781,2.0
1681947976.454413,37.875351,-122.258793,2.0
1681947982.4679315,37.875355,-122.258801,2.0
1681947988.3809426,37.875356,-122.258806,2.0
1681947994.2427804,37.875358,-122.258813,2.0
1681948000.2454548,37.875363,-122.258823,2.0
1681948006.157195,37.87537,-122.258835,2.0
1681948012.0747225,37.875371,-122.258846,2.0
1681948017.9676282,37.875368,-122.258876,2.0
1681948023.8538835,37.875386,-122.258919,2.0
1681948029.7308939,37.87539,-122.258936,2.0
1681948035.6660316,37.8754,-122.25898,2.0
1681948041.6102078,37.875403,-122.258968,2.0
1681948047.5630205,37.875408,-122.258966,2.0
1681948053.5370698,37.875408,-122.258966,2.0
1681948059.471012,37.875408,-122.258968,2.0
1681948065.4589486,37.87542,-122.258978,2.0
1681948071.4627817,37.875418,-122.258951,2.0
1681948077.5134706,37.875418,-122.258953,2.0
1681948083.636478,37.875416,-122.25895,2.0
1681948089.5896611,37.875413,-122.258944,2.0
1681948095.6887512,37.875405,-122.258946,2.0
